mode,rank,rank_biggest,agency,ntd_id,city,state,type_of_service,breakdown_rate,vehicle_passenger_car_miles,total_mechanical_failures,rank_2022,rank_2022_10_biggest
MB,12,,County of Lackawanna Transit System,30025,Scranton,PA,DO,173816.66666666666,1042900,6,6,NA
MB,13,,Sun Metro,60006,El Paso,TX,DO,171238.1081081081,6335810,37,20,NA
MB,14,,Monterey-Salinas Transit,90062,Monterey,CA,PT,130438.5,782631,6,18,NA
MB,15,,CityBus,50051,Lafayette,IN,DO,102060.70588235294,1735032,17,19,NA
MB,16,,City of Commerce Transit,90043,Commerce,CA,DO,95172.4,475862,5,16,NA
MB,17,,Santa Maria Regional Transit,90087,Santa Maria,CA,PT,83054.90909090909,913604,11,13,NA
MB,18,,Salem-Keizer Transit or Cherriots,00025,Salem,OR,PT,82217.85714285714,575525,7,106,NA
MB,19,,Fayette Area Coordinated Transportation,30087,Uniontown,PA,DO,80925.0,485550,6,24,NA
MB,20,,Utah Transit Authority,80001,Salt Lake City,UT,PT,74570.2,372851,5,15,NA
MB,21,,Jefferson Transit,60088,Gretna,LA,PT,73299.83333333333,1759196,24,39,NA
MB,22,,Clermont Transportation Connection,50166,Batavia,OH,DO,72708.0,218124,3,,
MB,23,,Valley Transportation Authority,90013,San Jose,CA,PT,71677.66666666667,215033,3,,
MB,24,,Merrimack Valley Transit,10013,Haverhill,MA,PT,68887.96,1722199,25,55,NA
MB,25,,Putnam Area Rapid Transit,20096,Carmel,NY,PT,65630.42857142857,459413,7,58,NA
MB,26,,Tri Delta Transit,90162,Antioch,CA,PT,65303.45714285714,2285621,35,66,NA
MB,27,,Muncie Indiana Transit System,50054,Muncie,IN,DO,61345.333333333336,736144,12,33,NA
